meter_name,date,record_count
Building A101,2025-07-21,655
Building A101,2025-07-22,1280
Building A101,2025-07-23,801
Building A101,2025-07-24,23
Building A101,2025-07-25,21
Building A101,2025-07-26,24
Building A101,2025-07-27,22
Building A101,2025-07-28,88
Building A101,2025-07-29,70
Building A101,2025-07-30,0
Building A101,2025-07-31,1
Building A101,2025-08-01,311
Building A101,2025-08-02,603
Building A101,2025-08-03,68
Building A101,2025-08-04,972
Building A101,2025-08-05,1134
Building A101,2025-08-06,0
Building A101,2025-08-07,0
Building A101,2025-08-08,602
Building A101,2025-08-09,1226
Building A101,2025-08-10,1223
Building A101,2025-08-11,1235
Building A101,2025-08-12,1227
Building A101,2025-08-13,1178
Building A101,2025-08-14,38
Building A101,2025-08-15,0
Building A101,2025-08-16,64
Building A101,2025-08-17,1039
Building A101,2025-08-18,0
Building A101,2025-08-19,332
Building A101,2025-08-20,16
Building A101,2025-08-21,17
Building A101,2025-08-22,459
Building A101,2025-08-23,107
Building A101a,2025-07-21,656
Building A101a,2025-07-22,1276
Building A101a,2025-07-23,803
Building A101a,2025-07-24,16
Building A101a,2025-07-25,18
Building A101a,2025-07-26,20
Building A101a,2025-07-27,18
Building A101a,2025-07-28,84
Building A101a,2025-07-29,67
Building A101a,2025-07-30,0
Building A101a,2025-07-31,0
Building A101a,2025-08-01,308
Building A101a,2025-08-02,603
Building A101a,2025-08-03,69
Building A101a,2025-08-04,971
Building A101a,2025-08-05,1135
Building A101a,2025-08-06,0
Building A101a,2025-08-07,0
Building A101a,2025-08-08,604
Building A101a,2025-08-09,1227
Building A101a,2025-08-10,1226
Building A101a,2025-08-11,1237
Building A101a,2025-08-12,1225
Building A101a,2025-08-13,1184
Building A101a,2025-08-14,39
Building A101a,2025-08-15,0
Building A101a,2025-08-16,63
Building A101a,2025-08-17,1039
Building A101a,2025-08-18,0
Building A101a,2025-08-19,333
Building A101a,2025-08-20,17
Building A101a,2025-08-21,17
Building A101a,2025-08-22,458
Building A101a,2025-08-23,107
Building A102,2025-07-21,656
Building A102,2025-07-22,1277
Building A102,2025-07-23,806
Building A102,2025-07-24,22
Building A102,2025-07-25,22
Building A102,2025-07-26,23
Building A102,2025-07-27,23
Building A102,2025-07-28,88
Building A102,2025-07-29,69
Building A102,2025-07-30,1
Building A102,2025-07-31,1
Building A102,2025-08-01,311
Building A102,2025-08-02,603
Building A102,2025-08-03,68
Building A102,2025-08-04,976
Building A102,2025-08-05,1132
Building A102,2025-08-06,0
Building A102,2025-08-07,0
Building A102,2025-08-08,605
Building A102,2025-08-09,1225
Building A102,2025-08-10,1221
Building A102,2025-08-11,1235
Building A102,2025-08-12,1227
Building A102,2025-08-13,1182
Building A102,2025-08-14,39
Building A102,2025-08-15,0
Building A102,2025-08-16,63
Building A102,2025-08-17,1039
Building A102,2025-08-18,0
Building A102,2025-08-19,331
Building A102,2025-08-20,17
Building A102,2025-08-21,16
Building A102,2025-08-22,462
Building A102,2025-08-23,107
Building A102a,2025-07-21,652
Building A102a,2025-07-22,1279
Building A102a,2025-07-23,804
Building A102a,2025-07-24,19
Building A102a,2025-07-25,16
Building A102a,2025-07-26,18
Building A102a,2025-07-27,21
Building A102a,2025-07-28,87
Building A102a,2025-07-29,67
Building A102a,2025-07-30,0
Building A102a,2025-07-31,2
Building A102a,2025-08-01,311
Building A102a,2025-08-02,603
Building A102a,2025-08-03,68
Building A102a,2025-08-04,976
Building A102a,2025-08-05,1134
Building A102a,2025-08-06,0
Building A102a,2025-08-07,0
Building A102a,2025-08-08,605
Building A102a,2025-08-09,1226
Building A102a,2025-08-10,1226
Building A102a,2025-08-11,1236
Building A102a,2025-08-12,1225
Building A102a,2025-08-13,1182
Building A102a,2025-08-14,39
Building A102a,2025-08-15,0
Building A102a,2025-08-16,62
Building A102a,2025-08-17,1040
Building A102a,2025-08-18,0
Building A102a,2025-08-19,333
Building A102a,2025-08-20,19
Building A102a,2025-08-21,16
Building A102a,2025-08-22,460
Building A102a,2025-08-23,107
Building A103,2025-07-21,653
Building A103,2025-07-22,1280
Building A103,2025-07-23,801
Building A103,2025-07-24,22
Building A103,2025-07-25,22
Building A103,2025-07-26,24
Building A103,2025-07-27,22
Building A103,2025-07-28,88
Building A103,2025-07-29,69
Building A103,2025-07-30,1
Building A103,2025-07-31,0
Building A103,2025-08-01,306
Building A103,2025-08-02,603
Building A103,2025-08-03,68
Building A103,2025-08-04,972
Building A103,2025-08-05,1134
Building A103,2025-08-06,0
Building A103,2025-08-07,0
Building A103,2025-08-08,604
Building A103,2025-08-09,1226
Building A103,2025-08-10,1221
Building A103,2025-08-11,1232
Building A103,2025-08-12,1224
Building A103,2025-08-13,1183
Building A103,2025-08-14,38
Building A103,2025-08-15,0
Building A103,2025-08-16,63
Building A103,2025-08-17,1039
Building A103,2025-08-18,0
Building A103,2025-08-19,332
Building A103,2025-08-20,17
Building A103,2025-08-21,17
Building A103,2025-08-22,461
Building A103,2025-08-23,107
Building A103a,2025-07-21,656
Building A103a,2025-07-22,1276
Building A103a,2025-07-23,807
Building A103a,2025-07-24,20
Building A103a,2025-07-25,20
Building A103a,2025-07-26,20
Building A103a,2025-07-27,21
Building A103a,2025-07-28,88
Building A103a,2025-07-29,70
Building A103a,2025-07-30,0
Building A103a,2025-07-31,3
Building A103a,2025-08-01,309
Building A103a,2025-08-02,603
Building A103a,2025-08-03,68
Building A103a,2025-08-04,978
Building A103a,2025-08-05,1132
Building A103a,2025-08-06,0
Building A103a,2025-08-07,0
Building A103a,2025-08-08,605
Building A103a,2025-08-09,1226
Building A103a,2025-08-10,1226
Building A103a,2025-08-11,1235
Building A103a,2025-08-12,1224
Building A103a,2025-08-13,1181
Building A103a,2025-08-14,39
Building A103a,2025-08-15,0
Building A103a,2025-08-16,62
Building A103a,2025-08-17,1038
Building A103a,2025-08-18,0
Building A103a,2025-08-19,333
Building A103a,2025-08-20,16
Building A103a,2025-08-21,17
Building A103a,2025-08-22,461
Building A103a,2025-08-23,107
Building A105,2025-07-21,656
Building A105,2025-07-22,1276
Building A105,2025-07-23,804
Building A105,2025-07-24,23
Building A105,2025-07-25,22
Building A105,2025-07-26,24
Building A105,2025-07-27,22
Building A105,2025-07-28,86
Building A105,2025-07-29,70
Building A105,2025-07-30,0
Building A105,2025-07-31,0
Building A105,2025-08-01,310
Building A105,2025-08-02,603
Building A105,2025-08-03,69
Building A105,2025-08-04,971
Building A105,2025-08-05,1132
Building A105,2025-08-06,0
Building A105,2025-08-07,0
Building A105,2025-08-08,605
Building A105,2025-08-09,1225
Building A105,2025-08-10,1224
Building A105,2025-08-11,1236
Building A105,2025-08-12,1224
Building A105,2025-08-13,1189
Building A105,2025-08-14,39
Building A105,2025-08-15,0
Building A105,2025-08-16,60
Building A105,2025-08-17,1039
Building A105,2025-08-18,0
Building A105,2025-08-19,332
Building A105,2025-08-20,16
Building A105,2025-08-21,16
Building A105,2025-08-22,460
Building A105,2025-08-23,107
Building A105a,2025-07-21,651
Building A105a,2025-07-22,1273
Building A105a,2025-07-23,800
Building A105a,2025-07-24,16
Building A105a,2025-07-25,16
Building A105a,2025-07-26,21
Building A105a,2025-07-27,21
Building A105a,2025-07-28,85
Building A105a,2025-07-29,68
Building A105a,2025-07-30,1
Building A105a,2025-07-31,2
Building A105a,2025-08-01,309
Building A105a,2025-08-02,602
Building A105a,2025-08-03,65
Building A105a,2025-08-04,978
Building A105a,2025-08-05,1132
Building A105a,2025-08-06,0
Building A105a,2025-08-07,0
Building A105a,2025-08-08,605
Building A105a,2025-08-09,1224
Building A105a,2025-08-10,1224
Building A105a,2025-08-11,1235
Building A105a,2025-08-12,1218
Building A105a,2025-08-13,1181
Building A105a,2025-08-14,39
Building A105a,2025-08-15,0
Building A105a,2025-08-16,63
Building A105a,2025-08-17,1039
Building A105a,2025-08-18,0
Building A105a,2025-08-19,333
Building A105a,2025-08-20,17
Building A105a,2025-08-21,16
Building A105a,2025-08-22,460
Building A105a,2025-08-23,107
Building A106,2025-07-21,655
Building A106,2025-07-22,1273
Building A106,2025-07-23,805
Building A106,2025-07-24,23
Building A106,2025-07-25,22
Building A106,2025-07-26,24
Building A106,2025-07-27,22
Building A106,2025-07-28,88
Building A106,2025-07-29,69
Building A106,2025-07-30,0
Building A106,2025-07-31,2
Building A106,2025-08-01,310
Building A106,2025-08-02,603
Building A106,2025-08-03,69
Building A106,2025-08-04,971
Building A106,2025-08-05,1134
Building A106,2025-08-06,0
Building A106,2025-08-07,0
Building A106,2025-08-08,604
Building A106,2025-08-09,1228
Building A106,2025-08-10,1226
Building A106,2025-08-11,1237
Building A106,2025-08-12,1220
Building A106,2025-08-13,1190
Building A106,2025-08-14,39
Building A106,2025-08-15,0
Building A106,2025-08-16,63
Building A106,2025-08-17,1039
Building A106,2025-08-18,0
Building A106,2025-08-19,332
Building A106,2025-08-20,18
Building A106,2025-08-21,11
Building A106,2025-08-22,457
Building A106,2025-08-23,107
Building A106a,2025-07-21,652
Building A106a,2025-07-22,1278
Building A106a,2025-07-23,806
Building A106a,2025-07-24,20
Building A106a,2025-07-25,19
Building A106a,2025-07-26,22
Building A106a,2025-07-27,18
Building A106a,2025-07-28,86
Building A106a,2025-07-29,67
Building A106a,2025-07-30,0
Building A106a,2025-07-31,3
Building A106a,2025-08-01,306
Building A106a,2025-08-02,602
Building A106a,2025-08-03,67
Building A106a,2025-08-04,975
Building A106a,2025-08-05,1134
Building A106a,2025-08-06,0
Building A106a,2025-08-07,0
Building A106a,2025-08-08,603
Building A106a,2025-08-09,1223
Building A106a,2025-08-10,1225
Building A106a,2025-08-11,1237
Building A106a,2025-08-12,1222
Building A106a,2025-08-13,1184
Building A106a,2025-08-14,39
Building A106a,2025-08-15,0
Building A106a,2025-08-16,60
Building A106a,2025-08-17,1039
Building A106a,2025-08-18,0
Building A106a,2025-08-19,331
Building A106a,2025-08-20,18
Building A106a,2025-08-21,15
Building A106a,2025-08-22,460
Building A106a,2025-08-23,107
Building A107,2025-07-21,652
Building A107,2025-07-22,1277
Building A107,2025-07-23,803
Building A107,2025-07-24,23
Building A107,2025-07-25,22
Building A107,2025-07-26,23
Building A107,2025-07-27,21
Building A107,2025-07-28,88
Building A107,2025-07-29,69
Building A107,2025-07-30,0
Building A107,2025-07-31,4
Building A107,2025-08-01,310
Building A107,2025-08-02,603
Building A107,2025-08-03,63
Building A107,2025-08-04,977
Building A107,2025-08-05,1135
Building A107,2025-08-06,0
Building A107,2025-08-07,0
Building A107,2025-08-08,604
Building A107,2025-08-09,1226
Building A107,2025-08-10,1223
Building A107,2025-08-11,1234
Building A107,2025-08-12,1228
Building A107,2025-08-13,1186
Building A107,2025-08-14,39
Building A107,2025-08-15,0
Building A107,2025-08-16,63
Building A107,2025-08-17,1040
Building A107,2025-08-18,0
Building A107,2025-08-19,333
Building A107,2025-08-20,16
Building A107,2025-08-21,18
Building A107,2025-08-22,462
Building A107,2025-08-23,106
Building A107a,2025-07-21,656
Building A107a,2025-07-22,1280
Building A107a,2025-07-23,803
Building A107a,2025-07-24,21
Building A107a,2025-07-25,18
Building A107a,2025-07-26,23
Building A107a,2025-07-27,23
Building A107a,2025-07-28,85
Building A107a,2025-07-29,69
Building A107a,2025-07-30,0
Building A107a,2025-07-31,1
Building A107a,2025-08-01,310
Building A107a,2025-08-02,603
Building A107a,2025-08-03,69
Building A107a,2025-08-04,978
Building A107a,2025-08-05,1132
Building A107a,2025-08-06,0
Building A107a,2025-08-07,0
Building A107a,2025-08-08,604
Building A107a,2025-08-09,1228
Building A107a,2025-08-10,1225
Building A107a,2025-08-11,1235
Building A107a,2025-08-12,1223
Building A107a,2025-08-13,1181
Building A107a,2025-08-14,39
Building A107a,2025-08-15,0
Building A107a,2025-08-16,63
Building A107a,2025-08-17,1039
Building A107a,2025-08-18,0
Building A107a,2025-08-19,332
Building A107a,2025-08-20,19
Building A107a,2025-08-21,19
Building A107a,2025-08-22,456
Building A107a,2025-08-23,107
Building A108,2025-07-21,651
Building A108,2025-07-22,1277
Building A108,2025-07-23,806
Building A108,2025-07-24,21
Building A108,2025-07-25,22
Building A108,2025-07-26,24
Building A108,2025-07-27,24
Building A108,2025-07-28,88
Building A108,2025-07-29,70
Building A108,2025-07-30,0
Building A108,2025-07-31,2
Building A108,2025-08-01,307
Building A108,2025-08-02,603
Building A108,2025-08-03,68
Building A108,2025-08-04,977
Building A108,2025-08-05,1133
Building A108,2025-08-06,0
Building A108,2025-08-07,0
Building A108,2025-08-08,604
Building A108,2025-08-09,1223
Building A108,2025-08-10,1224
Building A108,2025-08-11,1235
Building A108,2025-08-12,1223
Building A108,2025-08-13,1188
Building A108,2025-08-14,39
Building A108,2025-08-15,0
Building A108,2025-08-16,62
Building A108,2025-08-17,1039
Building A108,2025-08-18,0
Building A108,2025-08-19,333
Building A108,2025-08-20,18
Building A108,2025-08-21,16
Building A108,2025-08-22,458
Building A108,2025-08-23,107
Building A108a,2025-07-21,655
Building A108a,2025-07-22,1277
Building A108a,2025-07-23,808
Building A108a,2025-07-24,19
Building A108a,2025-07-25,19
Building A108a,2025-07-26,19
Building A108a,2025-07-27,22
Building A108a,2025-07-28,86
Building A108a,2025-07-29,67
Building A108a,2025-07-30,2
Building A108a,2025-07-31,1
Building A108a,2025-08-01,309
